Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"78586","Needs No Label","GB","Not Joined","Google","F94","","English","Retail","2026-08-22 14:39:10","2026-08-22 14:39:10","873","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F94.csv.gz"
"115655","Eco Ride Zone","GB","Not Joined","Google","F122","","English","Retail","2026-08-22 14:18:53","2026-08-22 14:18:53","248","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F122.csv.gz"
"115879","Super Genius Society","US","Not Joined","Google","F128","","English","Retail","2026-08-22 13:47:51","2026-08-22 13:47:51","126","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F128.csv.gz"
"69790","Doulton","GB","Not Joined","Google","F153","","English","Retail","2026-08-22 14:59:51","2026-08-22 14:59:51","79","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F153.csv.gz"
"115070","Foreverlyfe","US","Not Joined","Google","F167","","English","Retail","2026-05-16 17:45:17","2026-05-16 17:45:17","31","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F167.csv.gz"
"86627","GreatBeanBags.com","US","Not Joined","Google","F174","","English","Retail","2025-06-24 22:41:25","2025-06-24 22:41:25","215","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F174.csv.gz"
"61655","Back to the Office","GB","Not Joined","Google","F197","","English","Retail","2026-08-22 15:33:44","2026-08-22 15:33:44","95356","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F197.csv.gz"
"116665","isletan","US","Not Joined","Google","F206","","English","Retail","2026-08-22 14:08:24","2026-08-22 14:08:24","11","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F206.csv.gz"
"116677","Atenai London Affiliation Marketing","GB","Not Joined","Google","F208","","English","Retail","2026-08-22 14:36:04","2026-08-22 14:36:04","38","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F208.csv.gz"
"113464","BRUH. Skincare","US","Not Joined","Google","F224","","English","Retail","2026-08-22 14:49:43","2026-08-22 14:49:43","18","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F224.csv.gz"
"30995","ZONLIHOME (US)","US","Not Joined","Google","F231","","English","Retail","2026-02-28 03:44:48","2026-02-28 03:44:48","538","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F231.csv.gz"
"116701","LUXDRAPE","US","Not Joined","Google","F248","","English","Retail","2026-08-22 13:38:55","2026-08-22 13:38:55","1019","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F248.csv.gz"
"116785","BASE-K","US","Not Joined","Google","F291","","English","Retail","2026-08-22 14:47:00","2026-08-22 14:47:00","10","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F291.csv.gz"
"19475","Fila UK","GB","Not Joined","Google","F295","","English","Retail","2026-08-22 14:26:20","2026-08-22 14:26:20","19130","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F295.csv.gz"
"117119","kemoway","FR","Not Joined","Google","F306","","French","Retail","2026-08-22 13:42:07","2026-08-22 13:42:07","30","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F306.csv.gz"
"117121","kemoway","DE","Not Joined","Google","F307","","German","Retail","2026-08-22 15:09:35","2026-08-22 15:09:35","30","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F307.csv.gz"
"62729","Glamory","DE","Not Joined","Google","F309","","German","Retail","2026-08-22 13:46:22","2026-08-22 13:46:22","4","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F309.csv.gz"
"117221","MakeID","US","Not Joined","Google","F329","","English","Retail","2026-08-22 15:12:38","2026-08-22 15:12:38","25","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F329.csv.gz"
"117395","Marketing program","US","Not Joined","Google","F349","","English","Retail","2026-08-22 14:08:59","2026-08-22 14:08:59","24","https://ui.awin.com/productdata-darwin-download/publisher/3045037/fe83c200b3de1c6c14a8a28f5f7162cd/1/feed/F349.csv.gz"
